"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TEMP"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2008-11-07","  91.5"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2008-11-16","  83.9"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2008-11-17","  86.2"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2008-11-19","  85.2"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2008-11-28","  91.9"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2008-12-01","  86.0"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2008-12-04","  85.6"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2008-12-07","  82.8"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2008-12-09","  86.6"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2008-12-11","  91.4"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2008-12-14","  81.5"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2008-12-18","  90.5"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2008-12-19","  86.7"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2008-12-23","  75.0"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2008-12-24","  76.3"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2008-12-26","  74.7"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2008-12-29","  86.9"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2008-12-30","  79.0"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2008-12-31","  81.2"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2009-01-02","  81.6"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2009-01-03","  81.9"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2009-01-04","  79.7"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2009-01-06","  82.0"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2009-01-07","  88.2"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2009-01-08","  81.1"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2009-01-15","  91.8"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2009-01-16","  91.2"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2009-01-19","  93.2"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2009-01-23","  85.8"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2009-01-28","  83.4"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2009-02-09","  89.2"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2009-02-23","  92.8"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2009-02-25","  87.3"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2009-02-27","  85.8"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2009-03-02","  85.3"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2009-03-03","  86.9"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2009-03-06","  99.2"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2009-03-11","  92.0"
