"Date","Price","Open","High","Low","Vol.","Change %"
"2021-11-16","573.250","572.500","587.055","572.500","13.09K","0.75%"
"2021-11-17","577.730","576.750","587.310","576.700","0.24K","0.78%"
"2021-11-18","575.500","579.750","580.120","579.000","0.02K","-0.39%"
"2021-11-19","585.830","579.000","586.465","566.500","0.39K","1.79%"
"2021-11-22","588.390","577.750","589.605","577.625","1.72K","0.44%"
"2021-11-23","580.250","588.710","589.260","581.750","1.27K","-1.38%"
"2021-11-24","582.330","583.750","584.790","582.375","0.01K","0.36%"
"2021-11-25","579.750","583.250","585.500","583.250","0.00K","-0.44%"
"2021-11-26","581.000","584.500","588.665","582.745","0.52K","0.22%"
"2021-11-29","579.380","583.750","588.870","581.000","0.28K","-0.28%"
"2021-11-30","576.250","582.000","582.000","579.000","0.02K","-0.54%"
"2021-12-01","576.710","579.750","587.965","578.750","2.12K","0.08%"
"2021-12-02","577.720","579.000","586.795","578.750","0.55K","0.18%"
"2021-12-03","578.300","579.500","584.710","579.500","0.02K","0.10%"
"2021-12-06","579.100","581.250","588.925","580.875","1.50K","0.14%"
"2021-12-07","577.250","581.500","586.145","580.125","0.08K","-0.32%"
"2021-12-08","577.750","581.675","589.375","580.625","0.24K","0.09%"
"2021-12-09","577.000","581.250","584.485","578.500","0.10K","-0.13%"
"2021-12-10","577.500","581.500","589.890","580.000","1.99K","0.09%"
"2021-12-13","578.900","581.000","586.560","580.000","0.13K","0.24%"
"2021-12-14","580.590","581.250","585.985","580.875","0.24K","0.29%"
"2021-12-15","578.500","581.750","589.655","581.625","1.03K","-0.36%"
"2021-12-16","577.650","582.000","587.765","579.500","0.09K","-0.15%"
"2021-12-17","579.280","581.000","581.890","578.000","0.03K","0.28%"
"2021-12-20","579.500","579.250","590.235","579.250","0.42K","0.04%"
"2021-12-21","578.990","583.000","583.000","580.000","0.02K","-0.09%"
"2021-12-22","578.750","581.250","582.375","580.875","0.02K","-0.04%"
"2021-12-23","576.800","582.030","589.055","578.000","2.19K","-0.34%"
"2021-12-24","575.000","578.750","579.535","578.000","0.01K","-0.31%"
"2021-12-27","575.750","578.750","587.545","578.000","0.55K","0.13%"
"2021-12-28","576.000","579.250","585.645","578.875","0.03K","0.04%"
"2021-12-29","577.000","579.500","589.315","579.500","0.28K","0.17%"
"2021-12-30","576.000","580.500","588.430","579.000","0.22K","-0.17%"
"2021-12-31","576.500","579.500","587.185","579.500","0.29K","0.09%"
"2022-01-03","575.000","580.000","581.150","577.500","0.04K","-0.26%"
"2022-01-04","577.750","578.500","581.375","577.500","0.04K","0.48%"
"2022-01-05","577.000","581.250","581.530","579.030","0.05K","-0.13%"
"2022-01-06","577.500","580.500","582.030","580.000","0.05K","0.09%"
"2022-01-07","576.750","581.000","582.265","579.875","0.04K","-0.13%"
"2022-01-10","575.250","580.250","580.415","578.000","0.03K","-0.26%"
"2022-01-11","575.290","578.750","579.390","577.000","0.03K","0.01%"
"2022-01-12","574.000","578.250","578.530","577.000","0.03K","-0.22%"
"2022-01-13","568.750","577.500","578.260","571.000","0.02K","-0.91%"
"2022-01-14","568.750","572.250","573.000","571.500","0.01K","0.00%"
"2022-01-17","568.750","572.250","572.250","572.250","","0.00%"
"2022-01-18","575.070","572.250","577.190","572.200","0.03K","1.11%"
"2022-01-19","576.020","575.750","579.040","575.700","0.02K","0.17%"
"2022-01-20","574.000","578.500","579.260","577.000","0.03K","-0.35%"
"2022-01-21","575.250","577.500","586.485","577.500","2.10K","0.22%"
"2022-01-24","575.500","578.750","586.665","578.625","1.38K","0.04%"
"2022-01-25","576.250","579.000","589.630","578.750","0.50K","0.13%"
"2022-01-26","577.500","579.750","587.785","579.600","0.03K","0.22%"
"2022-01-27","581.450","581.000","585.260","580.355","0.03K","0.68%"
"2022-01-28","585.750","584.950","597.125","584.950","0.74K","0.74%"
"2022-01-31","584.250","589.250","594.190","586.440","7.83K","-0.26%"
"2022-02-01","580.000","587.750","587.750","583.000","0.02K","-0.73%"
"2022-02-02","587.780","583.500","591.230","579.500","0.81K","1.34%"
"2022-02-03","580.890","583.500","590.420","579.995","0.37K","-1.17%"
"2022-02-04","580.490","582.130","583.585","572.000","1.22K","-0.07%"
"2022-02-07","570.600","572.500","581.835","572.000","0.95K","-1.70%"
"2022-02-08","572.000","572.500","579.870","572.500","0.09K","0.25%"
"2022-02-09","571.500","575.250","581.885","573.500","2.17K","-0.09%"
"2022-02-10","570.480","575.000","578.525","573.500","0.14K","-0.18%"
"2022-02-11","573.000","573.980","580.310","573.725","0.04K","0.44%"
"2022-02-14","572.680","576.250","584.800","575.000","0.09K","-0.06%"
"2022-02-15","575.750","576.180","583.760","575.340","0.24K","0.54%"
"2022-02-16","573.250","579.250","585.270","576.125","0.58K","-0.43%"
"2022-02-17","573.750","576.750","582.225","576.000","0.14K","0.09%"
"2022-02-18","573.450","577.250","582.015","575.500","0.56K","-0.05%"
"2022-02-21","573.450","576.950","582.015","576.725","0.19K","0.00%"
"2022-02-22","577.000","576.950","584.285","576.900","0.13K","0.62%"
"2022-02-23","575.000","580.500","583.065","578.000","0.14K","-0.35%"
"2022-02-24","580.250","578.500","592.395","578.500","0.26K","0.91%"
"2022-02-25","581.750","583.750","591.680","577.500","0.17K","0.26%"
"2022-02-28","583.250","585.250","595.365","584.875","0.34K","0.26%"
"2022-03-01","598.680","586.750","601.515","584.000","9.72K","2.65%"
"2022-03-02","587.990","599.510","603.170","584.500","1.53K","-1.79%"
"2022-03-03","587.500","590.750","591.845","590.000","0.03K","-0.08%"
"2022-03-04","592.250","591.000","598.930","591.000","0.03K","0.81%"
"2022-03-07","599.000","595.750","606.835","595.750","0.18K","1.14%"
"2022-03-08","600.250","603.250","604.125","602.875","0.02K","0.21%"
"2022-03-09","597.500","603.750","603.750","599.490","0.02K","-0.46%"
"2022-03-10","589.250","601.000","601.250","592.000","0.03K","-1.38%"
"2022-03-11","596.340","592.750","599.170","592.625","0.02K","1.20%"
"2022-03-14","593.000","596.500","601.075","596.000","0.01K","-0.56%"
"2022-03-15","594.000","596.500","601.075","595.950","0.02K","0.17%"
"2022-03-16","594.750","596.500","607.045","596.500","0.77K","0.13%"
"2022-03-17","591.000","598.250","602.570","593.885","1.02K","-0.63%"
"2022-03-18","588.750","594.500","600.745","591.375","0.09K","-0.38%"
"2022-03-21","588.700","592.250","602.300","592.200","0.35K","-0.01%"
"2022-03-22","594.250","592.200","600.120","592.000","0.03K","0.94%"
"2022-03-23","591.500","597.750","600.800","594.000","0.03K","-0.46%"
"2022-03-24","591.500","595.000","601.455","594.250","0.04K","0.00%"
"2022-03-25","591.250","595.000","600.260","594.750","0.02K","-0.04%"
"2022-03-28","595.000","594.750","602.495","594.750","0.03K","0.63%"
"2022-03-29","592.220","598.500","598.500","594.500","0.02K","-0.47%"
"2022-03-30","586.500","595.500","596.110","589.750","0.04K","-0.97%"
"2022-03-31","584.500","590.000","590.250","587.525","0.02K","-0.34%"
"2022-04-01","590.000","588.000","600.530","588.000","0.03K","0.94%"
"2022-04-04","590.000","593.500","595.930","593.000","0.02K","0.00%"
"2022-04-05","594.000","593.500","606.340","593.500","0.55K","0.68%"
"2022-04-06","605.140","606.005","607.705","594.500","1.80K","1.88%"
"2022-04-07","605.970","606.695","608.150","598.460","1.43K","0.14%"
"2022-04-08","601.000","607.505","611.355","602.000","1.77K","-0.82%"
"2022-04-11","598.000","604.500","604.500","601.000","0.02K","-0.50%"
"2022-04-12","600.250","601.500","608.625","601.030","0.06K","0.38%"
"2022-04-13","602.250","603.750","610.400","603.750","0.05K","0.33%"
"2022-04-14","601.150","605.750","606.945","600.375","0.07K","-0.18%"
"2022-04-15","598.000","601.250","601.375","600.850","0.01K","-0.52%"
"2022-04-18","605.390","601.200","607.975","601.200","0.02K","1.24%"
"2022-04-19","605.000","607.000","608.285","606.750","0.01K","-0.06%"
"2022-04-20","603.000","608.000","610.300","594.500","0.03K","-0.33%"
"2022-04-21","597.250","606.500","606.500","600.000","0.03K","-0.95%"
"2022-04-22","604.610","600.750","608.335","600.750","0.02K","1.23%"
"2022-04-25","607.750","606.500","611.375","606.500","0.02K","0.52%"
"2022-04-26","610.250","611.250","618.310","608.170","0.02K","0.41%"
"2022-04-27","610.250","613.750","620.210","613.750","0.01K","0.00%"
"2022-04-28","618.750","613.750","624.065","613.750","0.02K","1.39%"
"2022-04-29","617.500","622.250","622.970","621.000","0.02K","-0.20%"
"2022-05-02","617.500","621.000","622.465","620.750","0.01K","0.00%"
"2022-05-03","619.000","621.000","628.690","620.750","0.46K","0.24%"
